Epoch,F1 dev,Acc dev,Loss Train,Loss Dev,F1 test,Acc test
5,0.48727544910179643,0.8072289156626506,2.023633200781686,1.8948383927345276,0.928,0.938
10,0.7629839471199246,0.9036144578313253,0.9339846389634269,0.9483649656176567,0.928,0.938
15,0.8358118361153263,0.9337349397590361,0.5508604262556348,0.6176966950297356,0.928,0.938
20,0.8730206154765461,0.929718875502008,0.37328218732561386,0.538284569978714,0.928,0.938
25,0.8873699851411591,0.9658634538152611,0.2331971560205732,0.3450666107237339,0.928,0.938
30,0.9155264723378941,0.9738955823293173,0.16316682909216199,0.28456117771565914,0.928,0.938
35,0.9341246290801187,0.9759036144578314,0.11786483334643501,0.24559817276895046,0.928,0.938
40,0.9472436277415531,0.9759036144578314,0.08666907293455942,0.22149310819804668,0.928,0.938
45,0.9520710059171598,0.9779116465863453,0.06584549780402865,0.20265014562755823,0.928,0.938
50,0.9524372230428361,0.9779116465863453,0.0512388037783759,0.1928458120673895,0.928,0.938
55,0.9574216439976345,0.9759036144578314,0.040650667250156404,0.18362867459654808,0.928,0.938
60,0.9589122080993201,0.9799196787148594,0.03264009654521942,0.17895129695534706,0.928,0.938
65,0.9615612063867534,0.9759036144578314,0.026614264026284216,0.17381733562797308,0.928,0.938
70,0.9607322113965161,0.9819277108433735,0.02787132002413273,0.16885714046657085,0.928,0.938
75,0.9633569739952719,0.9839357429718876,0.019746602459677628,0.16106986720114946,0.928,0.938
80,0.9645599527466036,0.9839357429718876,0.016556863353720735,0.160664988681674,0.928,0.938
85,0.9654357459379617,0.9839357429718876,0.014054627849587373,0.1607778905890882,0.928,0.938
90,0.9665976943541236,0.9819277108433735,0.012148008881402867,0.15961236506700516,0.928,0.938
95,0.9665779355220349,0.9839357429718876,0.010532871766814163,0.1599419955164194,0.928,0.938
100,0.9665976943541236,0.9859437751004017,0.009252579071159873,0.15899185836315155,0.928,0.938
105,0.966903073286052,0.9859437751004017,0.008135182184300252,0.15800861781463027,0.928,0.938
110,0.9645390070921985,0.9859437751004017,0.007264788408896753,0.15877841599285603,0.928,0.938
115,0.9666174298375184,0.9859437751004017,0.0064146763977727716,0.15867943270131946,0.928,0.938
120,0.9648449039881832,0.9839357429718876,0.005762754034783159,0.15892557241022587,0.928,0.938
