Epoch,F1 dev,Acc dev,F1 test,Acc test
5,0.7062275839582655,0.8795180722891566,0.9236172080772607,0.9417693169092946
10,0.8394315089204717,0.9417670682730924,0.9236172080772607,0.9417693169092946
15,0.8867141162514828,0.9738955823293173,0.9236172080772607,0.9417693169092946
20,0.9154140878278809,0.9618473895582329,0.9236172080772607,0.9417693169092946
25,0.9367985823981099,0.9799196787148594,0.9236172080772607,0.9417693169092946
30,0.9524372230428361,0.9819277108433735,0.9236172080772607,0.9417693169092946
35,0.9565474430978421,0.9819277108433735,0.9236172080772607,0.9417693169092946
40,0.9565474430978421,0.9819277108433735,0.9236172080772607,0.9417693169092946
45,0.9583210168489507,0.9819277108433735,0.9236172080772607,0.9417693169092946
50,0.9591957421643998,0.9819277108433735,0.9236172080772607,0.9417693169092946
55,0.9615612063867534,0.9819277108433735,0.9236172080772607,0.9417693169092946
60,0.9603784742755765,0.9819277108433735,0.9236172080772607,0.9417693169092946
65,0.9628099173553719,0.9819277108433735,0.9236172080772607,0.9417693169092946
70,0.9645390070921985,0.9819277108433735,0.9236172080772607,0.9417693169092946
75,0.9657615112160566,0.9819277108433735,0.9236172080772607,0.9417693169092946
80,0.9663319551092735,0.9819277108433735,0.9236172080772607,0.9417693169092946
85,0.9648449039881832,0.9799196787148594,0.9236172080772607,0.9417693169092946
90,0.9663716814159292,0.9799196787148594,0.9236172080772607,0.9417693169092946
95,0.9681227863046045,0.9819277108433735,0.9236172080772607,0.9417693169092946
100,0.9678560896490711,0.9839357429718876,0.9236172080772607,0.9417693169092946
105,0.9666764966086699,0.9819277108433735,0.9236172080772607,0.9417693169092946
110,0.9678181281369944,0.9819277108433735,0.9236172080772607,0.9417693169092946
