Epoch,F1 dev,Acc dev,F1 test,Acc test
5,0.8362871733253229,0.9437751004016064,0.9433762568354207,0.9417693169092946
10,0.9344408187481459,0.9799196787148594,0.9433762568354207,0.9417693169092946
15,0.9597156398104265,0.9759036144578314,0.9433762568354207,0.9417693169092946
20,0.9700740740740741,0.9799196787148594,0.9433762568354207,0.9417693169092946
25,0.9733570159857903,0.9779116465863453,0.9433762568354207,0.9417693169092946
30,0.9760142137992301,0.9799196787148594,0.9433762568354207,0.9417693169092946
35,0.9763173475429248,0.9799196787148594,0.9433762568354207,0.9417693169092946
40,0.9768957345971564,0.9799196787148594,0.9433762568354207,0.9417693169092946
45,0.9766064554338171,0.9779116465863453,0.9433762568354207,0.9417693169092946
50,0.977212192956496,0.9779116465863453,0.9433762568354207,0.9417693169092946
55,0.9769094138543516,0.9779116465863453,0.9433762568354207,0.9417693169092946
60,0.9777909387029909,0.9779116465863453,0.9433762568354207,0.9417693169092946
65,0.9780805687203791,0.9779116465863453,0.9433762568354207,0.9417693169092946
70,0.9780805687203791,0.9779116465863453,0.9433762568354207,0.9417693169092946
75,0.9783831803375778,0.9779116465863453,0.9433762568354207,0.9417693169092946
80,0.9780805687203791,0.9779116465863453,0.9433762568354207,0.9417693169092946
85,0.9780805687203791,0.9779116465863453,0.9433762568354207,0.9417693169092946
90,0.9777777777777779,0.9779116465863453,0.9433762568354207,0.9417693169092946
