Epoch,F1 dev,Acc dev,Loss Train,Loss Dev,F1 test,Acc test
1,0.3679150523748027,0.891566265060241,3.8809153624943327,1.7585756108164787,0.48202443280977314,0.9742441209406495
2,0.41670193257158983,0.9558232931726908,1.36331775529044,0.9340681061148643,0.48202443280977314,0.9742441209406495
3,0.44225074037512346,0.963855421686747,0.7833049527236393,0.5837233755737543,0.48202443280977314,0.9742441209406495
4,0.4521689981630635,0.9698795180722891,0.5064435405390603,0.42436913400888443,0.48202443280977314,0.9742441209406495
5,0.4581622539997168,0.9859437751004017,0.3595144114324025,0.3238683231174946,0.48202443280977314,0.9742441209406495
6,0.4676391445970826,0.9879518072289156,0.25650167039462496,0.2671698550693691,0.48202443280977314,0.9742441209406495
7,0.47469162058698416,0.9859437751004017,0.18856633411986487,0.21936525497585535,0.48202443280977314,0.9742441209406495
8,0.4725462304409673,0.9899598393574297,0.15022836135966436,0.19655168731696904,0.48202443280977314,0.9742441209406495
9,0.4726183685111238,0.9959839357429718,0.12427499358143125,0.16611159779131413,0.48202443280977314,0.9742441209406495
10,0.4758787533798207,0.9939759036144579,0.09720583409070968,0.15299995511304587,0.48202443280977314,0.9742441209406495
11,0.4757420091324201,0.9939759036144579,0.08369971705334527,0.1516202244674787,0.48202443280977314,0.9742441209406495
12,0.48106712564543896,0.9919678714859438,0.06576174337949071,0.15835745679214597,0.48202443280977314,0.9742441209406495
13,0.47997711670480553,0.9919678714859438,0.0641112098204238,0.16728044534102082,0.48202443280977314,0.9742441209406495
14,0.479225953329539,0.9899598393574297,0.06065601674573762,0.15329714678227901,0.48202443280977314,0.9742441209406495
15,0.48001138141983213,0.9899598393574297,0.054272818618587085,0.1634681795258075,0.48202443280977314,0.9742441209406495
