Epoch,F1 dev,Acc dev,Loss Train,Loss Dev,F1 test,Acc test
1,0.7262969588550985,0.8775100401606426,2.29466946039881,0.9437729939818382,0.9390812250332891,0.9742441209406495
2,0.8243359040274207,0.9578313253012049,0.7440058882747378,0.5235504321753979,0.9390812250332891,0.9742441209406495
3,0.8907947398513436,0.9718875502008032,0.42127540196691243,0.320689351297915,0.9390812250332891,0.9742441209406495
4,0.9145444255800793,0.9839357429718876,0.26976699084043504,0.22157852724194527,0.9390812250332891,0.9742441209406495
5,0.9317860175488254,0.9899598393574297,0.19336905404925347,0.18216977873817086,0.9390812250332891,0.9742441209406495
6,0.9467422096317281,0.9919678714859438,0.13596046375376838,0.14534513978287578,0.9390812250332891,0.9742441209406495
7,0.9579545454545455,0.9879518072289156,0.10669497831591539,0.16234185732901096,0.9390812250332891,0.9742441209406495
8,0.9616368286445014,0.9939759036144579,0.091022415086627,0.10423600301146507,0.9390812250332891,0.9742441209406495
9,0.962478681068789,0.9939759036144579,0.07262664847075939,0.10213016939815134,0.9390812250332891,0.9742441209406495
10,0.9670267197271176,0.9959839357429718,0.060763297416269776,0.10179282305762172,0.9390812250332891,0.9742441209406495
11,0.9673016775661075,0.9939759036144579,0.0469635458796152,0.09109653334598988,0.9390812250332891,0.9742441209406495
12,0.9707136764287745,0.9939759036144579,0.03688581974378654,0.08845321761327796,0.9390812250332891,0.9742441209406495
13,0.9678703440432187,0.9939759036144579,0.030271723454019853,0.09890111247659661,0.9390812250332891,0.9742441209406495
14,0.9684927618506954,0.9939759036144579,0.02764553963871939,0.09273517085239291,0.9390812250332891,0.9742441209406495
15,0.9690604598353676,0.9939759036144579,0.023047979967668653,0.09138801562949084,0.9390812250332891,0.9742441209406495
