Epoch,F1 dev,Acc dev,Loss Train,Loss Dev,F1 test,Acc test
1,0.5099601593625498,0.7369477911646586,3.6864020994731357,1.9952684342861176,0.936,0.973
2,0.7121749408983452,0.9216867469879518,1.5434346164975847,1.0597887933254242,0.936,0.973
3,0.7798191892680082,0.9377510040160643,0.9226231030055455,0.68295718729496,0.936,0.973
4,0.8293811451706189,0.963855421686747,0.6248726580824171,0.5036867223680019,0.936,0.973
5,0.8593481989708405,0.9698795180722891,0.4641903281211853,0.39568109810352325,0.936,0.973
6,0.8832429346274621,0.9759036144578314,0.36723606501306805,0.32931632921099663,0.936,0.973
7,0.9045312054716443,0.9799196787148594,0.2984946574483599,0.2840217873454094,0.936,0.973
8,0.9107395862850667,0.9839357429718876,0.24754791983536312,0.2521176114678383,0.936,0.973
9,0.9282051282051282,0.9859437751004017,0.20952053368091583,0.20713489316403866,0.936,0.973
10,0.9329545454545454,0.9859437751004017,0.181167129107884,0.1899031726643443,0.936,0.973
11,0.9391699829448551,0.9819277108433735,0.15280179189784185,0.1717328978702426,0.936,0.973
12,0.9425092041914471,0.9899598393574297,0.13816601080553872,0.156341721303761,0.936,0.973
13,0.9484126984126985,0.9919678714859438,0.11941704324313572,0.14497341308742762,0.936,0.973
14,0.9492099322799097,0.9919678714859438,0.10680489029203143,0.1395901869982481,0.936,0.973
15,0.9585933068633011,0.9899598393574297,0.09339182281068394,0.12419527396559715,0.936,0.973
16,0.9602949517867272,0.9919678714859438,0.08206581558500017,0.12125475751236081,0.936,0.973
17,0.9642045454545454,0.9899598393574297,0.07218195604426521,0.11216069664806128,0.936,0.973
18,0.9628579529345052,0.9919678714859438,0.06496877127460071,0.1144215245731175,0.936,0.973
19,0.9658897100625355,0.9919678714859438,0.05879616396767753,0.10972474189475179,0.936,0.973
20,0.9662027833001987,0.9919678714859438,0.05557039507797786,0.10198814375326037,0.936,0.973
21,0.9638009049773755,0.9899598393574297,0.0490293658205441,0.11355270771309733,0.936,0.973
22,0.9634457353357891,0.9939759036144579,0.045543295836874415,0.10130967618897557,0.936,0.973
23,0.9673758865248228,0.9919678714859438,0.04143551412437643,0.09981162939220667,0.936,0.973
24,0.9690604598353676,0.9899598393574297,0.03818370258169515,0.10396711714565754,0.936,0.973
25,0.9690428855438796,0.9899598393574297,0.036618787688868386,0.10212989244610071,0.936,0.973
26,0.9727117680500283,0.9899598393574297,0.03513044140168599,0.09896497265435755,0.936,0.973
27,0.9715909090909091,0.9919678714859438,0.031738584275756564,0.0918068285100162,0.936,0.973
28,0.9702802151146334,0.9919678714859438,0.027460122800299098,0.08792593749240041,0.936,0.973
29,0.9705048213272831,0.9919678714859438,0.025809576309153013,0.09004239598289132,0.936,0.973
