Epoch,F1 dev,Acc dev,Loss Train,Loss Dev,F1 test,Acc test
1,0.6829704742022069,0.9196787148594378,2.74953864301954,1.1120495535433292,0.9395302348825587,0.973124300111982
2,0.7942363112391931,0.9718875502008032,0.8333354275141444,0.5660746647045016,0.9395302348825587,0.973124300111982
3,0.8520946138500997,0.9738955823293173,0.48630797543695997,0.38925165636464953,0.9395302348825587,0.973124300111982
4,0.8935685828116107,0.9859437751004017,0.332888520189694,0.2873692319262773,0.9395302348825587,0.973124300111982
5,0.9113636363636364,0.9839357429718876,0.24338862917252949,0.22574094007723033,0.9395302348825587,0.973124300111982
6,0.9271636675235648,0.9919678714859438,0.18839599096349308,0.18266056769061834,0.9395302348825587,0.973124300111982
7,0.9359521776259606,0.9899598393574297,0.1512573426855462,0.16217705782037228,0.9395302348825587,0.973124300111982
8,0.942849019050327,0.9939759036144579,0.12461315936275891,0.1363720539957285,0.9395302348825587,0.973124300111982
9,0.9485941493893781,0.9919678714859438,0.10441507518823658,0.12999009527266026,0.9395302348825587,0.973124300111982
10,0.9523269012485811,0.9899598393574297,0.08915454021521978,0.11625859505147673,0.9395302348825587,0.973124300111982
11,0.9535673839184597,0.9899598393574297,0.07301586017544781,0.11836589740414638,0.9395302348825587,0.973124300111982
12,0.9555366751628434,0.9899598393574297,0.062357930273615886,0.10225750526296906,0.9395302348825587,0.973124300111982
13,0.9607954545454546,0.9919678714859438,0.057774236246145194,0.11080831196159124,0.9395302348825587,0.973124300111982
14,0.965595678134774,0.9879518072289156,0.046759246336296204,0.11491633323748829,0.9395302348825587,0.973124300111982
15,0.9622480840193017,0.9899598393574297,0.040576274300526294,0.10293311858549714,0.9395302348825587,0.973124300111982
16,0.9636570130607609,0.9879518072289156,0.03466882331828986,0.09972448363987496,0.9395302348825587,0.973124300111982
17,0.9686788154897494,0.9899598393574297,0.029594465089030565,0.1021648292808095,0.9395302348825587,0.973124300111982
18,0.9676136363636364,0.9919678714859438,0.02563599699309894,0.09944023950811243,0.9395302348825587,0.973124300111982
19,0.966241134751773,0.9919678714859438,0.024668632875130114,0.09760667641239706,0.9395302348825587,0.973124300111982
20,0.9678703440432187,0.9939759036144579,0.0248315892498275,0.09115123308947659,0.9395302348825587,0.973124300111982
