Epoch,F1 dev,Acc dev,F1 test,Acc test
5,0.8925914906277894,0.9658634538152611,0.9520112914608327,0.9518477043673013
10,0.9579134558387671,0.9859437751004017,0.9520112914608327,0.9518477043673013
15,0.9673977474807349,0.9859437751004017,0.9520112914608327,0.9518477043673013
20,0.9756965026674571,0.9859437751004017,0.9520112914608327,0.9518477043673013
25,0.9786350148367952,0.9879518072289156,0.9520112914608327,0.9518477043673013
30,0.9772256728778469,0.9879518072289156,0.9520112914608327,0.9518477043673013
35,0.9792776791000591,0.9839357429718876,0.9520112914608327,0.9518477043673013
40,0.9790002957704821,0.9859437751004017,0.9520112914608327,0.9518477043673013
45,0.9795918367346939,0.9859437751004017,0.9520112914608327,0.9518477043673013
50,0.9816568047337279,0.9879518072289156,0.9520112914608327,0.9518477043673013
55,0.9828503843879363,0.9879518072289156,0.9520112914608327,0.9518477043673013
60,0.9822485207100592,0.9859437751004017,0.9520112914608327,0.9518477043673013
65,0.9810874704491725,0.9879518072289156,0.9520112914608327,0.9518477043673013
70,0.9822799763733019,0.9879518072289156,0.9520112914608327,0.9518477043673013
