Epoch,F1 dev,Acc dev,F1 test,Acc test
5,0.8890207715133531,0.9578313253012049,0.9473127753303964,0.9574468085106383
10,0.955930198166223,0.9779116465863453,0.9473127753303964,0.9574468085106383
15,0.9689807976366323,0.9799196787148594,0.9473127753303964,0.9574468085106383
20,0.9745862884160756,0.9779116465863453,0.9473127753303964,0.9574468085106383
25,0.9795797573246522,0.9819277108433735,0.9473127753303964,0.9574468085106383
30,0.9781323877068558,0.9819277108433735,0.9473127753303964,0.9574468085106383
35,0.9804733727810652,0.9819277108433735,0.9473127753303964,0.9574468085106383
40,0.9793021880544055,0.9819277108433735,0.9473127753303964,0.9574468085106383
45,0.9801833776989056,0.9819277108433735,0.9473127753303964,0.9574468085106383
50,0.9781194559432288,0.9839357429718876,0.9473127753303964,0.9574468085106383
